time,id,x,y,z,rad,timeLife,mass,temp,charge
13.5,12,5,1,5,0.35498,0.5,0.126011,223.656,0.81381
14,0,8.07048,8.18572,8.55288,0.292101,12,0.0853233,124.615,0.320748
14,1,3.74981,6.16058,5.57303,0.571455,11,0.326561,933.075,0.397251
14,2,9.41061,3.02097,2.48694,0.546552,9.5,0.298719,816.328,0.250466
14,3,0.72716,4.40821,6.90053,0.0794286,8,0.00630891,2.50554,0.147496
14,4,9.46196,4.8127,5.82063,0.0117172,7.5,0.000137292,0.00804337,-0.722807
14,5,6.19676,8.22419,7.17757,0.135882,7,0.0184639,12.5446,0.33894
14,6,5.8257,6.48862,0.880642,0.617149,6.5,0.380873,1175.28,-0.200532
14,7,2.97928,3.68351,5.85896,0.048464,5,0.00234876,0.569152,0.0566974
14,8,4.70465,3.04125,5.49268,0.723298,4.5,0.52316,1892,-0.909703
14,9,5.80284,2.63651,6.92935,0.458518,2.5,0.210239,481.992,0.376469
14,10,5.57368,1.06602,7.17702,0.378484,2,0.14325,271.09,0.71371
14,11,4.95579,2.26458,4.83907,0.480182,1.5,0.230574,553.588,-0.369609
14,12,4.94979,1.21156,5.29339,0.35498,1,0.126011,223.656,0.81381
14,13,5,1,5,0.127635,0.5,0.0162907,10.3963,0.737633
14.5,0,8.21005,8.51234,8.71437,0.292101,12.5,0.0853233,124.615,0.320748
14.5,1,3.68958,6.4146,5.60249,0.571455,11.5,0.326561,933.075,0.397251
14.5,2,0.442304,4.63542,7.02724,0.0794286,8.5,0.00630891,2.50554,0.147496
14.5,3,9.78067,5.08504,5.87925,0.0117172,8,0.000137292,0.00804337,-0.722807
14.5,4,6.28882,8.7799,7.34508,0.135882,7.5,0.0184639,12.5446,0.33894
14.5,5,2.75475,3.98167,5.9544,0.048464,5.5,0.00234876,0.569152,0.0566974
14.5,6,4.64083,3.36198,5.56888,0.723298,5,0.52316,1892,-0.909703
14.5,7,6.00356,3.04564,7.41168,0.458518,3,0.210239,481.992,0.376469
14.5,8,5.76491,1.08803,7.9027,0.378484,2.5,0.14325,271.09,0.71371
14.5,9,4.93369,2.89687,4.7586,0.480182,2,0.230574,553.588,-0.369609
14.5,10,4.89957,1.42312,5.58679,0.35498,1.5,0.126011,223.656,0.81381
14.5,11,5.14424,1.20845,4.86507,0.127635,1,0.0162907,10.3963,0.737633
14.5,12,5,1,5,0.240326,0.5,0.0577568,69.4024,-0.442592
15,0,8.34961,8.83897,8.87586,0.292101,13,0.0853233,124.615,0.320748
15,1,3.62935,6.66863,5.63195,0.571455,12,0.326561,933.075,0.397251
15,2,0.157448,4.86264,7.15394,0.0794286,9,0.00630891,2.50554,0.147496
15,3,6.38088,9.3356,7.51258,0.135882,8,0.0184639,12.5446,0.33894
15,4,2.53023,4.27984,6.04984,0.048464,6,0.00234876,0.569152,0.0566974
15,5,4.57701,3.68271,5.64508,0.723298,5.5,0.52316,1892,-0.909703
