time,id,x,y,z,rad,timeLife,mass,temp,charge
25.5,2,4.6333,1.61233,5.2047,1.17012,7.5,1.36919,8010.57,3.95122
26,0,3.50295,4.28785,8.36239,0.302315,9,0.0913943,138.149,-0.977107
26,1,6.9651,6.00016,6.60793,1.28143,9.5,1.64207,10521,-2.69069
26,2,4.5643,1.70106,5.20905,1.17022,8,1.36942,8012.64,4.58728
26.5,0,3.40936,4.49311,8.57274,0.302315,9.5,0.0913943,138.149,-0.977107
26.5,1,7.0241,6.14556,6.64881,1.28143,10,1.64207,10521,-2.69069
26.5,2,4.5108,1.76551,5.20682,1.18875,8.5,1.41312,8399.23,4.66002
27,0,3.31577,4.69837,8.78309,0.302315,10,0.0913943,138.149,-0.977107
27,1,7.08311,6.29097,6.68968,1.28143,10.5,1.64207,10521,-2.69069
27,2,4.49564,1.77661,5.18583,1.24856,9,1.55889,9731.83,4.68297
27.5,0,3.22218,4.90363,8.99345,0.302315,10.5,0.0913943,138.149,-0.977107
27.5,1,7.14211,6.43637,6.73055,1.28143,11,1.64207,10521,-2.69069
27.5,2,4.46277,1.88189,5.17237,1.2565,9.5,1.5788,9918.82,4.74001
28,0,3.1286,5.10889,9.2038,0.302315,11,0.0913943,138.149,-0.977107
28,1,7.20112,6.58178,6.77142,1.28143,11.5,1.64207,10521,-2.69069
28,2,4.43407,1.98298,5.15181,1.267,10,1.60528,10169.4,4.12253
28.5,0,3.03501,5.31415,9.41416,0.302315,11.5,0.0913943,138.149,-0.977107
28.5,1,7.26012,6.72718,6.81229,1.28143,12,1.64207,10521,-2.69069
28.5,2,4.38919,2.10462,5.12969,1.267,10.5,1.60528,10169.4,4.12253
28.5,3,5,1,5,0.123504,0.5,0.0152534,9.41929,0.210104
29,0,2.94142,5.51941,9.62451,0.302315,12,0.0913943,138.149,-0.977107
29,1,7.31913,6.87259,6.85316,1.28143,12.5,1.64207,10521,-2.69069
29,2,5,1,5,0.186181,0.5,0.0346632,32.2681,0.74744
29,3,4.34956,2.21619,5.1076,1.273,11,1.62053,10314.7,4.33264
29.5,0,7.37813,7.01799,6.89403,1.28143,13,1.64207,10521,-2.69069
29.5,1,4.95063,1.02019,4.70179,0.186181,1,0.0346632,32.2681,0.74744
29.5,2,4.30417,2.33817,5.08672,1.273,11.5,1.62053,10314.7,4.33264
29.5,3,5,1,5,0.255539,0.5,0.0653002,83.4338,-0.902341
30,0,7.43713,7.1634,6.9349,1.28143,13.5,1.64207,10521,-2.69069
30,1,4.90127,1.04039,4.40357,0.186181,1.5,0.0346632,32.2681,0.74744
30,2,4.25879,2.46014,5.06585,1.273,12,1.62053,10314.7,4.33264
30,3,4.59951,1.16654,4.74059,0.255539,1,0.0653002,83.4338,-0.902341
30,4,5,1,5,0.328773,0.5,0.108092,177.688,-0.318439
30.5,0,7.49614,7.3088,6.97578,1.28143,14,1.64207,10521,-2.69069
30.5,1,4.8519,1.06058,4.10536,0.186181,2,0.0346632,32.2681,0.74744
30.5,2,4.2134,2.58212,5.04497,1.273,12.5,1.62053,10314.7,4.33264
30.5,3,4.19902,1.33308,4.48117,0.255539,1.5,0.0653002,83.4338,-0.902341
30.5,4,5.00712,1.12066,4.97668,0.535007,1,0.286233,765.684,0.305449
31,0,7.55514,7.45421,7.01665,1.28143,14.5,1.64207,10521,-2.69069
